Date,Source,Quote,
 , A Kind of Walking Westminster Abbey  ," We are wise, and we are also foolish. In some ways we are rich and powerful and in other ways poor and helpless. To some we are friends but to others, or even to the same ones, we are enemies, enemies sometimes even to ourselves. There are days when our faith in God is strong and sustaining, and there are days when it is hard to believe that God exists at all. It is this inner complexity we share that makes each one of us a kind of walking Westminster Abbey and that unites us not only with each other, but also with the fabled ghosts who haunt its shadows. - from Secrets in the Dark ", Buechner-quote-there-are-days  
 , A Strong Sense of Urgency  ," I had a strong suspicion that once they left Exeter [where Buechner once taught], most of my captive listeners would never be caught dead in church again, and that gave me a strong sense of urgency about what I was doing. It might be the last time anybody would try to persuade them that religious faith was not as boring, banal, irrelevant, and outmoded as they thought it was, so if I didn't do it right, that would be the end of it. I tried every way I could think of to catch their attention and make them listen. I avoided traditional religious language and imagery as much as possible as well as the kind of fuzziness, bombast, and sentimentality that preachers are apt to resort to when all else fails. In sermons like ''A Sprig of Hope,"" ""Message in the Stars,"" ""The Sign by the Highway,"" and ""The Face in the Sky"" I tried to be as dramatic and vivid as I could without going overboard, to tell a story or set a scene that I hoped would capture their imaginations. I tried not to let them ever see where I was going next, to keep them on their toes, to keep them wondering what on earth I was getting at until suddenly and unexpectedly, if I was lucky, we all of us got there together. I tried to be suggestive, elusive, and unpredictable rather than systematic, dogmatic, and pontifical. I never took it for granted that they believed any of even the most basic affirmations of the Christian faith concerning such matters as God and Jesus, sin and salvation, but always tried to speak to their skepticism and to honor their doubts. I made a point of never urging on them anything I did not believe myself I was candid about what, like them, I was puzzled by and uncertain of I tried to be myself I tried to be honest.  - from the introduction to Secrets in the Dark ",  
 , A Universal Story  ," If you tell your own story with sufficient candor and concreteness, it will be an interesting story and in some sense a universal story. ", Buechner-quote-a-universal-story  
 , Ants In The Pants  , Doubts are the ants in the pants of faith. , Buechner-quote-doubt-ants-in-the-pants  
 , Atheist And Believer  , Many an atheist is a believer without knowing it just as many a believer is an atheist without knowing it. You can sincerely believe there is no God and live as though there is. You can sincerely believe there is a God and live as though there isn't. , Buechner-quote-atheist-and-believer-0036  
 , Bad News and Good News  , The Gospel is bad news before it is good news. , Buechner-quote-bad-news-and-good-news-0001  
 , Be Not Afraid  ," The question is not whether the things that happen to you are chance things or God's things because, of course, they are both at once. There is no chance thing through which God cannot speak - even the walk from the house to the garage that you have walked ten thousand times before, even the moments when you cannot believe there is a God who speaks at all anywhere. He speaks, I believe, and the words he speaks are incarnate in the flesh and blood of ourselves and of our own footsore and sacred journeys. We cannot live our lives constantly looking back, listening back, lest we be turned to pillars of longing and regret, but to live without listening at all is to live deaf to the fullness of the music. Sometimes we avoid listening for fear of what we may hear, sometimes for fear that we may hear nothing at all but the empty rattle of our own feet on the pavement. But be not affeared, says Caliban, nor is he the only one to say it. 'Be not afraid,"" says Another, ""for lo, I am with you always, even unto the end of the world.' (Matthew 28:20) He says He is with us on our journeys. He says He has been with us since each of our journeys began. Listen for Him. Listen to the sweet and bitter airs of your present and your past for the sound of Him. ", Buechner-quote-be-not-afraid-0048  
 , Bearers of His Life  ," There have been wise ones and simple ones, sophisticated ones and crude ones, respectable ones and disreputable ones. There have been medieval peasants and eighteenth-century aristocrats, nineteenth-century spinsters and twentieth century dropouts. They need not be mystics or saints or even unusually religious in any formal, institutional sense, and there may never have been anyone dramatic moment of conversion in the past that they would point to. But somewhere along the line something deep in them split starwise and they became not simply followers of Christ but bearers of his life.  A birth of grace and truth took place within them scarcely less miraculous in its way than the one the Magi traveled all those miles to kneel before. - from Secrets in the Dark ", Buechner-quote-believers  
 , Being Like Christ To Each Other  ," Yet they meet as well as diverge, our stories and his, and even when they diverge, it is his they diverge from, so that by his absence as well as by his presence in our lives we know who he is and who we are and who we are not. We have it in us to be Christs to each other and maybe in some unimaginable way to God too - that's what we have to tell finally. We have it in us to work miracles of love and healing as well as to have them worked upon us. We have it in us to bless with him and forgive with him and heal with him and once in a while maybe even to grieve with some measure of his grief at another's pain and to rejoice with some measure of his rejoicing at another's joy almost as if it were our own. And who knows but that in the end, by God's mercy, the two stories will converge for good and all, and though we would never have had the courage or the faith or the wit to die for him any more than we have ever managed to live for him very well either, his story will come true in us at last. And in the meantime, this side of Paradise, it is our business (not, like so many, peddlers of God's word, but as men and women of sincerity) to speak with our hearts (which is what sincerity means) and to bear witness to, and live out of, and live toward, and live by the true word of his holy story as it seeks to stammer itself forth through the holy stories of us all. ", Buechner-quote-being-Christ-to-each-other  
 , Blessed Are The Poor  ," In a sense we are all hungry and in need, but most of us don't recognize it. With plenty to eat in the deep freeze, with a roof over our heads and a car in the garage, we assume that the empty feeling inside must be a just a case of the blues that can be cured by a Florida vacation, a new TV, an extra drink before supper. The poor, on the other hand, are under no such delusion. When Jesus says, ""Come unto me all ye who labor and are heavy laden, and I will give you rest"" (Matthew 11:28), the poor stand a better chance than most of knowing what he's talking about and knowing that he's talking to them. In desperation they may even be willing to consider the possibility of accepting his offer. This is perhaps why Jesus on several occasions called them particularly blessed. ", Buechner-quote-blessed-are-the-poor-0010  
